timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715094385746,140,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-1,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,140,0,1
1715094386396,117,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-2,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,117,0,2
1715094387045,114,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-3,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,114,0,2
1715094387696,103,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-4,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,103,0,2
1715094388345,110,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-5,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,110,0,2
1715094388994,119,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-6,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,119,0,19
1715094389645,101,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-7,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,101,0,1
1715094390294,104,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-8,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,104,0,2
1715094390944,104,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-9,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,104,0,2
1715094391594,121,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-10,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,121,0,1
1715094392244,135,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-11,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,135,0,22
1715094392894,136,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-12,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,135,0,20
1715094393546,91,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-13,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,91,0,2
1715094394195,95,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-14,text,true,,564,2877,1,1,http://172.16.33.16:9095/api/Hl7Message,95,0,2
